41 45 233 ; 34 22 404 ; 18 30 330 ; 94 109 21 ; 127 88 204 ; 
61 12 488 ; 9 87 271 ; 20 92 183 ; 79 33 48 ; 85 127 453 ; 
61 50 296 ; 9 56 118 ; 86 87 376 ; 37 39 407 ; 32 20 203 ; 
44 20 197 ; 4 27 194 ; 96 62 415 ; 1 123 223 ; 0 68 242 ; 
50 68 392 ; 106 90 293 ; 66 66 111 ; 105 105 281 ; 125 88 46 ; 
17 105 338 ; 44 55 315 ; 107 14 3 ; 102 121 255 ; 42 52 160 ; 
111 68 392 ; 73 17 442 ; 12 104 368 ; 117 21 150 ; 78 103 339 ; 
55 90 144 ; 111 121 405 ; 125 28 42 ; 119 31 441 ; 43 35 151 ; 
111 39 477 ; 0 93 216 ; 105 125 486 ; 126 96 366 ; 102 43 263 ; 
64 116 381 ; 57 77 121 ; 85 83 324 ; 116 68 405 ; 23 27 144 ; 
62 29 79 ; 27 13 306 ; 24 71 471 ; 120 13 184 ; 36 73 430 ; 
24 82 256 ; 101 19 0 ; 57 67 477 ; 125 113 246 ; 25 21 358 ; 
54 101 29 ; 67 35 447 ; 11 98 406 ; 24 10 127 ; 97 49 259 ; 
52 61 495 ; 71 10 127 ; 11 15 117 ; 124 106 302 ; 17 56 327 ; 
118 30 196 ; 26 65 386 ; 124 0 114 ; 7 87 217 ; 56 38 61 ; 
117 26 263 ; 127 37 407 ; 15 22 410 ; 121 64 449 ; 49 104 281 ; 
79 40 403 ; 17 31 41 ; 17 89 355 ; 104 30 316 ; 14 123 311 ; 
40 58 271 ; 78 45 304 ; 100 104 60 ; 37 45 15 ; 13 111 120 ; 
53 66 85 ; 84 11 237 ; 45 111 226 ; 75 79 459 ; 71 54 63 ; 
1 85 149 ; 47 105 214 ; 23 125 384 ; 68 32 480 ; 51 60 453 ; 
117 10 130 ; 1 39 264 ; 112 85 240 ; 63 20 174 ; 117 59 133 ; 
74 112 32 ; 51 78 134 ; 49 122 345 ; 81 11 428 ; 14 64 184 ; 
24 3 44 ; 63 123 261 ; 20 71 230 ; 40 65 454 ; 99 7 101 ; 
83 19 334 ; 34 33 276 ; 28 94 232 ; 39 50 113 ; 104 75 434 ; 
107 23 168 ; 102 88 252 ; 45 27 423 ; 111 77 259 ; 118 63 71 ; 
9 37 70 ; 43 86 462 ; 9 58 108 ; 60 79 244 ; 7 53 352 ; 
30 42 236 ; 118 54 379 ; 17 2 45 ; 95 97 326 ; 30 105 249 ; 
67 83 447 ; 25 17 157 ; 83 113 160 ; 34 110 301 ; 88 18 65 ; 
2 30 432 ; 56 21 150 ; 58 114 333 ; 28 124 6 ; 5 118 329 ; 
88 101 51 ; 106 94 211 ; 91 2 232 ; 73 48 200 ; 91 25 226 ; 
121 10 450 ; 14 24 336 ; 0 29 45 ; 125 52 295 ; 115 41 403 ; 
88 61 440 ; 55 20 477 ; 57 4 327 ; 105 72 98 ; 3 47 36 ; 
13 109 343 ; 37 46 257 ; 67 39 7 ; 119 90 436 ; 32 42 73 ; 
93 126 168 ; 113 43 168 ; 118 66 287 ; 62 53 129 ; 109 113 198 ; 
91 8 413 ; 9 25 206 ; 48 57 228 ; 10 89 15 ; 52 118 222 ; 
51 6 30 ; 94 110 196 ; 33 14 77 ; 86 103 111 ; 71 41 146 ; 
79 111 259 ; 105 65 254 ; 34 57 467 ; 123 116 295 ; 113 38 386 ; 
119 121 290 ; 101 41 153 ; 115 74 100 ; 90 98 457 ; 4 56 379 ; 
115 123 198 ; 52 26 461 ; 110 65 278 ; 98 25 156 ; 9 123 383 ; 
2 17 180 ; 43 91 419 ; 117 3 269 ; 87 76 16 ; 15 107 143 ; 
11 81 347 ; 37 6 246 ; 102 37 342 ; 127 101 68 ; 122 33 439 ; 
12 77 176 ; 103 113 14 ; 106 122 445 ; 54 118 102 ; 33 77 246 ; 
114 40 373 ; 120 118 96 ; 29 121 465 ; 3 105 356 ; 36 60 211 ; 
113 24 270 ; 98 118 322 ; 92 127 21 ; 83 126 319 ; 32 84 173 ; 
73 57 314 ; 63 42 440 ; 56 63 12 ; 34 59 162 ; 94 55 45 ; 
119 45 249 ; 109 47 102 ; 109 24 377 ; 107 107 45 ; 63 116 124 ; 
120 30 461 ; 34 58 50 ; 98 78 489 ; 29 0 474 ; 84 53 424 ; 
1 14 278 ; 48 89 65 ; 72 6 151 ; 51 15 480 ; 39 108 155 ; 
69 105 126 ; 127 47 266 ; 78 52 25 ; 78 114 367 ; 4 82 352 ; 
18 17 489 ; 107 70 102 ; 113 105 311 ; 1 121 339 ; 109 116 359 ; 
86 46 190 ; 5 97 352 ; 57 54 283 ; 44 109 201 ; 126 65 416 ; 
15 106 324 ; 86 21 378 ; 63 112 126 ; 57 19 499 ; 45 106 44 ; 
92 105 237 ; 61 45 39 ; 115 112 0 ; 96 2 462 ; 33 98 250 ; 
12 70 436 ; 33 60 152 ; 17 30 314 ; 36 114 425 ; 15 70 114 ; 
120 8 388 ; 37 31 372 ; 21 60 37 ; 23 18 204 ; 121 20 444 ; 
63 20 461 ; 124 36 245 ; 26 10 250 ; 12 48 287 ; 83 14 400 ; 
91 26 95 ; 122 2 267 ; 54 39 416 ; 72 63 177 ; 92 55 105 ; 
113 81 262 ; 21 118 326 ; 32 61 378 ; 80 20 340 ; 94 16 269 ; 
121 27 208 ; 123 30 395 ; 35 70 73 ; 98 4 40 ; 26 89 460 ; 
107 39 85 ; 97 53 350 ; 30 63 111 ; 51 100 331 ; 67 21 287 ; 
95 25 298 ; 125 120 399 ; 68 81 166 ; 72 97 285 ; 33 58 312 ; 
72 111 42 ; 126 21 289 ; 61 80 446 ; 33 44 117 ; 54 87 88 ; 
79 97 463 ; 71 100 486 ; 25 99 128 ; 122 4 304 ; 52 8 44 ; 
35 38 453 ; 56 47 293 ; 9 26 95 ; 53 35 33 ; 12 95 354 ; 
110 94 125 ; 82 61 108 ; 53 25 348 ; 58 57 121 ; 66 33 115 ; 
105 42 144 ; 24 123 291 ; 50 75 112 ; 85 88 365 ; 52 6 234 ; 
19 107 6 ; 80 32 184 ; 105 28 167 ; 34 49 120 ; 67 64 182 ; 
109 4 17 ; 104 108 370 ; 51 12 326 ; 11 53 37 ; 18 19 118 ; 
125 125 11 ; 29 86 178 ; 57 1 458 ; 106 97 479 ; 43 124 101 ; 
47 89 16 ; 27 31 29 ; 39 125 285 ; 92 14 29 ; 111 117 496 ; 
109 16 42 ; 67 62 144 ; 68 60 205 ; 37 35 131 ; 33 44 41 ; 
122 120 200 ; 25 49 456 ; 23 82 247 ; 37 39 391 ; 26 8 251 ; 
42 122 415 ; 104 106 388 ; 36 120 207 ; 71 63 39 ; 115 112 4 ; 
107 77 286 ; 28 89 104 ; 111 0 126 ; 22 79 233 ; 30 123 110 ; 
25 22 377 ; 3 30 247 ; 123 105 48 ; 58 120 384 ; 43 44 292 ; 
120 2 19 ; 81 83 435 ; 81 61 67 ; 33 62 54 ; 28 100 221 ; 
50 37 471 ; 80 17 496 ; 57 101 292 ; 49 93 63 ; 93 29 146 ; 
96 81 81 ; 51 112 69 ; 112 43 66 ; 46 86 171 ; 18 23 276 ; 
56 118 336 ; 73 111 414 ; 46 107 250 ; 11 98 51 ; 41 20 356 ; 
122 113 170 ; 106 70 278 ; 21 108 137 ; 107 100 373 ; 2 124 423 ; 
121 49 193 ; 104 23 413 ; 83 78 182 ; 53 61 48 ; 74 94 248 ; 
59 92 73 ; 2 58 43 ; 110 75 149 ; 82 76 106 ; 79 123 322 ; 
0 60 16 ; 23 54 365 ; 101 120 161 ; 35 105 252 ; 1 101 498 ; 
93 10 100 ; 23 41 287 ; 98 50 481 ; 46 80 248 ; 41 90 110 ; 
101 103 493 ; 27 108 85 ; 20 90 153 ; 125 26 446 ; 98 16 17 ; 
108 80 74 ; 21 76 435 ; 71 73 230 ; 23 53 96 ; 114 116 110 ; 
89 1 343 ; 69 15 341 ; 31 52 16 ; 58 62 256 ; 74 108 257 ; 
27 26 119 ; 103 38 415 ; 48 72 40 ; 102 77 495 ; 90 127 183 ; 
91 91 481 ; 106 28 54 ; 30 120 267 ; 93 105 339 ; 73 86 317 ; 
99 38 51 ; 9 97 346 ; 82 50 285 ; 31 73 54 ; 30 120 400 ; 
121 25 286 ; 21 19 353 ; 14 83 40 ; 119 50 350 ; 77 75 435 ; 
115 46 460 ; 85 45 0 ; 7 18 341 ; 80 40 215 ; 73 36 70 ; 
98 122 165 ; 118 44 398 ; 73 72 260 ; 123 2 470 ; 70 26 433 ; 
116 122 258 ; 33 62 66 ; 52 12 475 ; 92 43 174 ; 1 106 10 ; 
123 71 19 ; 39 29 182 ; 111 9 52 ; 114 3 249 ; 12 116 260 ; 
6 51 106 ; 69 101 486 ; 81 108 452 ; 124 122 436 ; 102 88 344 ; 
45 0 429 ; 75 10 181 ; 84 10 396 ; 88 83 172 ; 76 23 358 ; 
127 33 242 ; 100 31 432 ; 80 63 429 ; 74 19 278 ; 35 68 195 ; 
35 117 101 ; 45 34 311 ; 55 119 426 ; 10 59 354 ; 33 113 270 ; 
66 51 107 ; 97 123 270 ; 33 9 383 ; 52 103 67 ; 120 66 202 ; 
110 4 297 ; 16 115 224 ; 7 45 17 ; 66 59 80 ; 51 34 310 ; 
102 85 319 ; 98 7 65 ; 107 30 34 ; 82 6 31 ; 21 56 344 ; 
25 13 464 ; 12 5 26 ; 57 42 211 ; 116 6 414 ; 22 108 13 ; 
107 115 364 ; 115 60 63 ; 17 102 41 ; 23 50 376 ; 79 50 254 ; 
92 42 167 ; 97 17 420 ; 11 8 472 ; 17 6 101 ; 125 71 162 ; 
112 60 276 ; 44 23 404 ; 19 84 315 ; 69 124 244 ; 119 118 464 ; 
33 6 323 ; 50 46 472 ; 58 99 337 ; 65 80 233 ; 8 50 294 ; 
68 43 128 ; 91 15 404 ; 47 102 189 ; 43 78 16 ; 34 78 121 ; 
40 30 496 ; 86 74 309 ; 57 87 88 ; 10 112 246 ; 60 27 347 ; 
103 67 108 ; 118 91 244 ; 92 32 320 ; 43 120 227 ; 121 21 343 ; 
23 41 421 ; 97 95 481 ; 57 71 443 ; 41 105 281 ; 68 77 95 ; 
7 57 47 ; 99 105 267 ; 3 117 305 ; 124 49 182 ; 17 24 141 ; 
59 33 498 ; 26 82 374 ; 97 89 295 ; 74 26 100 ; 23 101 170 ; 
80 109 2 ; 58 92 226 ; 47 65 245 ; 96 3 248 ; 120 112 252 ; 
25 87 230 ; 107 85 29 ; 69 52 107 ; 95 77 256 ; 69 15 222 ; 
50 21 354 ; 14 35 462 ; 79 20 292 ; 83 9 164 ; 67 121 360 ; 
26 123 21 ; 111 56 122 ; 36 15 294 ; 113 71 183 ; 0 74 70 ; 
21 100 199 ; 57 78 321 ; 77 115 203 ; 86 71 151 ; 80 123 198 ; 
75 40 189 ; 4 111 272 ; 19 33 23 ; 91 24 239 ; 37 110 20 ; 
9 10 240 ; 87 87 402 ; 74 51 83 ; 17 94 176 ; 13 92 135 ; 
53 29 63 ; 36 121 338 ; 69 69 194 ; 93 52 238 ; 76 21 225 ; 
86 117 378 ; 45 107 51 ; 96 26 410 ; 62 23 45 ; 26 106 174 ; 
56 13 455 ; 49 123 261 ; 118 110 65 ; 43 116 163 ; 64 85 88 ; 
53 91 60 ; 33 106 482 ; 59 80 324 ; 82 1 344 ; 60 68 491 ; 
73 19 313 ; 69 24 353 ; 51 66 235 ; 39 49 481 ; 124 125 332 ; 
87 22 364 ; 65 4 114 ; 17 32 39 ; 19 29 370 ; 87 88 137 ; 
106 45 325 ; 3 59 499 ; 69 122 348 ; 118 47 67 ; 115 16 42 ; 
9 48 54 ; 14 6 277 ; 46 125 114 ; 75 48 327 ; 35 53 314 ; 
81 118 249 ; 12 1 88 ; 6 81 295 ; 53 84 84 ; 69 126 322 ; 
118 36 97 ; 124 33 323 ; 122 95 129 ; 42 47 43 ; 95 17 411 ; 
85 75 222 ; 87 111 291 ; 40 22 323 ; 125 2 201 ; 123 100 111 ; 
32 57 180 ; 65 24 330 ; 33 5 471 ; 80 33 49 ; 97 8 231 ; 
44 18 358 ; 27 110 107 ; 49 85 330 ; 51 67 23 ; 23 102 104 ; 
81 78 319 ; 105 45 19 ; 111 8 333 ; 16 93 78 ; 24 92 378 ; 
42 58 103 ; 24 109 152 ; 110 120 315 ; 49 43 185 ; 23 91 400 ; 
101 6 80 ; 18 82 25 ; 26 95 354 ; 119 13 253 ; 83 11 413 ; 
13 106 245 ; 123 118 176 ; 115 30 496 ; 30 119 178 ; 121 3 479 ; 
127 39 306 ; 81 28 192 ; 48 123 170 ; 61 72 9 ; 72 38 460 ; 
51 27 108 ; 41 59 105 ; 71 116 116 ; 62 26 119 ; 66 114 341 ; 
105 96 386 ; 6 52 74 ; 1 27 423 ; 73 28 472 ; 111 20 297 ; 
11 96 278 ; 70 58 17 ; 58 14 222 ; 85 86 6 ; 71 59 256 ; 
39 26 374 ; 92 120 440 ; 119 39 182 ; 19 7 455 ; 39 37 160 ; 
8 11 268 ; 66 36 319 ; 80 102 45 ; 38 112 92 ; 98 57 489 ; 
124 67 68 ; 116 55 487 ; 27 49 87 ; 35 44 390 ; 72 113 257 ; 
83 37 1 ; 119 100 229 ; 93 105 399 ; 78 41 275 ; 7 62 182 ; 
74 26 108 ; 2 30 144 ; 51 125 160 ; 96 84 135 ; 81 61 190 ; 
118 78 326 ; 90 103 321 ; 67 66 192 ; 109 110 14 ; 43 64 440 ; 
70 116 431 ; 100 36 157 ; 97 72 263 ; 53 7 431 ; 115 106 115 ; 
65 20 180 ; 41 18 42 ; 107 6 224 ; 89 88 419 ; 25 120 276 ; 
13 31 80 ; 49 17 454 ; 121 4 34 ; 1 43 259 ; 107 50 169 ; 
127 10 224 ; 17 88 425 ; 24 0 354 ; 112 108 410 ; 105 68 219 ; 
8 72 113 ; 25 18 50 ; 30 64 28 ; 73 80 353 ; 124 21 14 ; 
6 77 405 ; 95 70 1 ; 95 105 326 ; 75 119 74 ; 16 94 111 ; 
88 95 228 ; 107 110 4 ; 43 46 302 ; 123 103 32 ; 16 34 125 ; 
93 71 49 ; 36 108 132 ; 13 35 471 ; 4 113 86 ; 98 48 102 ; 
66 88 442 ; 48 9 242 ; 94 83 253 ; 69 59 213 ; 103 108 28 ; 
47 26 73 ; 27 78 218 ; 62 97 242 ; 48 83 499 ; 96 17 103 ; 
57 95 422 ; 66 6 68 ; 21 23 444 ; 80 84 78 ; 60 13 175 ; 
86 86 399 ; 36 124 358 ; 5 71 53 ; 89 30 312 ; 106 122 60 ; 
74 56 260 ; 80 56 493 ; 103 104 411 ; 60 118 372 ; 73 73 56 ; 
31 4 237 ; 27 110 315 ; 98 116 128 ; 1 56 441 ; 123 44 398 ; 
51 0 397 ; 107 14 83 ; 83 93 199 ; 73 66 146 ; 18 118 194 ; 
23 103 167 ; 5 47 490 ; 121 27 382 ; 49 12 436 ; 93 87 153 ; 
94 12 340 ; 108 11 67 ; 73 90 106 ; 11 16 253 ; 2 3 86 ; 
105 62 133 ; 24 25 144 ; 51 15 477 ; 64 103 391 ; 23 65 344 ; 
35 21 398 ; 46 29 368 ; 8 15 396 ; 24 85 393 ; 27 99 437 ; 
90 4 83 ; 115 60 68 ; 2 122 61 ; 105 49 188 ; 42 25 244 ; 
64 95 479 ; 93 3 290 ; 108 19 260 ; 65 109 440 ; 37 82 329 ; 
41 57 416 ; 102 9 426 ; 96 114 497 ; 17 15 11 ; 42 107 257 ; 
10 95 91 ; 13 117 3 ; 33 58 264 ; 14 6 333 ; 96 107 110 ; 
25 108 239 ; 34 70 1 ; 21 20 243 ; 36 99 91 ; 15 28 288 ; 
110 0 30 ; 100 35 216 ; 30 36 214 ; 36 17 123 ; 16 63 485 ; 
124 19 89 ; 66 16 222 ; 86 115 100 ; 58 54 285 ; 86 10 317 ; 
86 8 441 ; 122 17 487 ; 30 39 395 ; 47 94 277 ; 110 35 74 ; 
1 72 318 ; 17 6 74 ; 4 102 120 ; 58 92 307 ; 68 117 497 ; 
77 30 95 ; 94 54 250 ; 5 49 112 ; 99 75 298 ; 6 9 141 ; 
78 87 455 ; 84 33 129 ; 58 45 366 ; 22 16 59 ; 12 45 149 ; 
42 33 278 ; 96 107 327 ; 18 47 161 ; 93 17 198 ; 102 34 61 ; 
61 33 235 ; 94 34 161 ; 11 53 209 ; 28 76 331 ; 73 29 166 ; 
106 51 30 ; 85 22 216 ; 4 87 213 ; 21 29 267 ; 55 70 8 ; 
89 117 306 ; 123 114 35 ; 48 67 65 ; 124 79 368 ; 26 113 104 ; 
77 31 122 ; 100 119 164 ; 59 48 186 ; 89 123 446 ; 31 35 300 ; 
21 49 183 ; 7 124 108 ; 75 37 352 ; 26 90 132 ; 11 42 9 ; 
42 68 483 ; 33 73 184 ; 82 35 292 ; 77 1 264 ; 113 117 205 ; 
34 33 472 ; 31 37 357 ; 68 37 21 ; 30 86 24 ; 73 3 50 ; 
13 74 265 ; 86 94 51 ; 121 87 272 ; 123 11 494 ; 112 24 188 ; 
17 68 361 ; 55 6 319 ; 92 79 98 ; 50 99 263 ; 53 17 33 ; 
127 74 218 ; 94 45 236 ; 53 49 306 ; 64 8 264 ; 88 44 259 ; 
28 65 239 ; 34 120 241 ; 113 79 224 ; 84 106 188 ; 101 35 267 ; 
47 38 172 ; 92 54 388 ; 14 28 450 ; 22 124 151 ; 66 87 107 ; 
3 35 23 ; 123 0 223 ; 74 20 66 ; 52 4 275 ; 88 39 228 ; 
126 0 473 ; 52 88 129 ; 80 14 393 ; 77 121 243 ; 36 36 173 ; 
71 39 371 ; 71 70 254 ; 91 8 86 ; 96 60 20 ; 7 68 117 ; 
7 49 113 ; 95 78 227 ; 109 72 47 ; 102 79 379 ; 10 109 488 ; 
49 76 189 ; 120 47 16 ; 0 13 268 ; 60 53 463 ; 0 18 143 ; 
50 71 279 ; 0 122 190 ; 72 97 118 ; 24 25 11 ; 5 29 226 ; 
81 70 368 ; 0 55 110 ; 13 111 26 ; 67 2 34 ; 85 118 411 ; 
29 113 235 ; 23 115 481 ; 121 85 278 ; 18 37 222 ; 47 91 354 ; 
118 27 51 ; 45 13 185 ; 28 119 361 ; 30 98 167 ; 20 9 122 ; 
5 48 47 ; 121 10 56 ; 78 100 376 ; 115 6 257 ; 78 65 375 ; 
106 0 422 ; 119 17 88 ; 111 35 93 ; 81 66 353 ; 90 36 184 ; 
10 91 80 ; 20 48 322 ; 120 28 451 ; 127 1 381 ; 64 120 181 ; 
64 30 75 ; 82 59 285 ; 117 4 421 ; 55 106 8 ; 91 110 285 ; 
54 6 163 ; 102 36 377 ; 2 59 410 ; 3 33 390 ; 123 122 189 ; 
26 33 217 ; 85 51 174 ; 89 60 448 ; 67 52 401 ; 49 125 200 ; 
56 32 467 ; 92 77 305 ; 24 15 420 ; 57 74 38 ; 51 3 270 ; 
84 125 137 ; 7 55 267 ; 67 67 248 ; 119 68 378 ; 116 124 157 ; 
20 15 123 ; 98 88 59 ; 113 8 435 ; 59 59 55 ; 63 113 152 ; 
60 34 407 ; 115 110 100 ; 54 14 15 ; 122 8 223 ; 118 70 286 ; 
5 53 139 ; 93 92 295 ; 102 95 337 ; 33 123 323 ; 18 79 142 ; 
52 87 337 ; 34 51 477 ; 49 22 88 ; 57 61 470 ; 127 92 172 ; 
52 111 98 ; 16 22 363 ; 112 32 125 ; 107 27 155 ; 58 81 140 ; 
17 71 54 ; 68 120 34 ; 91 29 349 ; 24 119 246 ; 116 76 455 ; 
99 22 487 ; 122 102 463 ; 26 19 444 ; 53 38 216 ; 6 90 335 ; 
77 32 305 ; 70 26 35 ; 99 55 179 ; 90 5 50 ; 38 13 223 ; 
61 20 187 ; 35 79 379 ; 54 27 297 ; 92 87 131 ; 54 126 0 ; 
86 96 250 ; 112 83 220 ; 40 10 238 ; 45 29 393 ; 58 72 359 ; 
78 103 310 ; 30 106 491 ; 57 103 470 ; 17 126 20 ; 15 74 148 ; 
111 29 346 ; 66 61 168 ; 77 35 0 ; 106 108 192 ; 50 15 490 ; 
25 89 200 ; 4 96 163 ; 107 10 341 ; 106 106 326 ; 52 38 187 ; 
81 24 259 ; 14 96 198 ; 49 25 189 ; 29 121 114 ; 45 7 172 ; 
6 80 438 ; 103 103 451 ; 113 28 91 ; 92 10 359 ; 2 10 33 ; 
27 25 465 ; 123 23 259 ; 20 88 133 ; 14 102 327 ; 21 94 436 ; 
101 8 469 ; 76 76 88 ; 104 19 135 ; 115 70 432 ; 125 99 148 ; 
22 53 135 ; 45 88 90 ; 6 9 329 ; 108 108 58 ; 75 109 116 ; 
83 26 345 ; 31 78 299 ; 51 105 491 ; 121 118 264 ; 93 94 295 ; 
18 73 272 ; 106 79 454 ; 115 81 243 ; 96 103 477 ; 77 11 270 ; 
103 68 293 ; 54 99 188 ; 31 79 204 ; 21 35 487 ; 116 106 396 ; 
61 46 317 ; 13 8 215 ; 94 15 53 ; 69 29 113 ; 80 23 425 ; 
20 92 74 ; 120 116 381 ; 71 44 435 ; 106 23 75 ; 84 124 232 ; 
2 61 204 ; 10 17 182 ; 25 78 403 ; 54 127 49 ; 77 16 30 ; 
41 110 110 ; 30 52 486 ; 74 47 106 ; 98 74 17 ; 94 123 279 ; 
27 31 391 ; 44 1 125 ; 123 112 83 ; 122 61 213 ; 11 79 139 ; 
121 49 485 ; 45 40 394 ; 93 22 352 ; 39 76 119 ; 34 107 181 ; 
66 95 435 ; 67 84 198 ; 52 84 39 ; 113 109 10 ; 65 60 224 ; 
114 89 459 ; 26 32 437 ; 49 4 242 ; 125 51 311 ; 104 68 423 ; 
71 51 105 ; 28 62 119 ; 112 117 147 ; 93 39 91 ; 25 83 0 ; 
115 11 109 ; 19 60 324 ; 23 26 482 ; 75 86 43 ; 15 57 376 ; 
67 62 409 ; 1 6 88 ; 118 17 188 ; 29 80 144 ; 112 0 317 ; 
123 114 51 ; 55 86 330 ; 82 84 49 ; 40 4 60 ; 97 48 39 ; 
31 69 463 ; 37 34 470 ; 54 26 111 ; 6 3 73 ; 7 72 422 ; 
121 39 382 ; 79 121 266 ; 35 94 157 ; 39 91 355 ; 88 34 171 ; 
29 121 28 ; 63 19 384 ; 90 46 209 ; 93 63 152 ; 37 109 154 ; 
77 12 217 ; 70 38 302 ; 37 119 233 ; 0 27 493 ; 34 102 124 ; 
28 19 208 ; 47 95 154 ; 94 80 49 ; 29 120 435 ; 11 39 160 ; 
23 92 190 ; 61 11 427 ; 52 8 405 ; 79 41 470 ; 54 114 386 ; 
73 18 193 ; 40 80 205 ; 120 78 244 ; 113 37 274 ; 24 90 16 ; 
116 52 243 ; 127 91 42 ; 8 72 327 ; 49 91 459 ; 35 109 443 ; 
54 34 5 ; 6 115 322 ; 84 116 130 ; 122 82 138 ; 84 78 203 ; 
8 85 479 ; 99 115 332 ; 43 78 267 ; 6 94 19 ; 116 61 81 ; 
22 82 76 ; 10 48 418 ; 126 54 261 ; 80 52 301 ; 31 36 327 ; 
116 43 203 ; 104 39 267 ; 54 35 298 ; 20 38 202 ; 81 91 300 ; 
35 52 480 ; 83 66 435 ; 9 87 221 ; 62 65 435 ; 98 36 203 ; 
13 92 338 ; 53 27 139 ; 88 62 443 ; 126 12 133 ; 90 96 466 ; 
14 41 439 ; 80 8 207 ; 40 113 90 ; 105 88 72 ; 13 15 290 ; 
105 102 448 ; 5 49 229 ; 67 100 114 ; 79 77 74 ; 47 75 129 ; 
88 27 211 ; 96 14 249 ; 81 84 309 ; 41 36 209 ; 57 50 46 ; 
31 34 352 ; 80 32 329 ; 52 82 98 ; 1 93 105 ; 77 102 256 ; 
104 73 352 ; 118 58 372 ; 74 123 105 ; 111 101 270 ; 33 55 304 ; 
68 23 261 ; 100 97 480 ; 54 47 452 ; 19 65 120 ; 121 33 117 ; 
66 49 262 ; 124 26 494 ; 120 99 20 ; 93 125 431 ; 20 65 150 ; 
44 62 319 ; 13 90 35 ; 60 70 231 ; 125 102 22 ; 31 8 185 ; 
80 118 499 ; 106 77 229 ; 77 25 422 ; 75 48 90 ; 12 54 443 ; 
75 94 27 ; 37 73 47 ; 108 25 128 ; 82 31 425 ; 90 56 190 ; 
81 75 33 ; 30 33 10 ; 55 115 140 ; 104 61 86 ; 30 100 61 ; 
124 31 425 ; 70 7 440 ; 95 123 234 ; 126 44 314 ; 54 91 448 ; 
2 40 107 ; 35 70 52 ; 22 79 482 ; 83 37 65 ; 55 70 85 ; 
86 115 192 ; 93 108 56 ; 89 10 66 ; 5 20 453 ; 96 112 239 ; 
9 39 314 ; 79 47 324 ; 30 85 499 ; 67 51 317 ; 9 120 16 ; 
125 92 243 ; 105 61 25 ; 115 99 411 ; 7 105 232 ; 119 108 61 ; 
31 38 442 ; 78 98 259 ; 36 65 22 ; 87 54 373 ; 79 126 248 ; 
44 125 62 ; 105 83 91 ; 76 6 424 ; 53 18 351 ; 34 35 482 ; 
72 21 321 ; 43 16 272 ; 108 91 91 ; 35 68 259 ; 33 112 194 ; 
31 38 129 ; 114 89 461 ; 120 117 246 ; 10 4 403 ; 45 26 236 ; 
67 40 486 ; 83 84 319 ; 46 79 58 ; 114 110 54 ; 99 100 125 ; 
9 42 287 ; 99 27 134 ; 88 118 192 ; 93 29 224 ; 119 121 110 ; 
31 120 115 ; 116 63 34 ; 67 49 274 ; 50 15 412 ; 22 17 119 ; 
64 52 198 ; 92 118 359 ; 82 42 46 ; 111 86 183 ; 104 12 324 ; 
96 111 99 ; 31 22 183 ; 80 16 199 ; 96 56 238 ; 113 83 60 ; 
37 81 63 ; 27 89 23 ; 69 67 107 ; 27 6 61 ; 39 38 140 ; 
22 62 81 ; 44 117 73 ; 60 32 85 ; 117 14 229 ; 72 47 209 ; 
26 102 150 ; 115 93 43 ; 54 49 318 ; 61 86 223 ; 99 107 130 ; 
