63 57 290 ; 28 25 227 ; 47 28 47 ; 59 9 230 ; 14 61 125 ; 
14 15 412 ; 4 51 462 ; 56 20 370 ; 57 56 55 ; 56 22 95 ; 
14 33 63 ; 12 31 2 ; 49 11 48 ; 2 6 493 ; 0 51 84 ; 
16 60 325 ; 3 14 7 ; 23 24 375 ; 15 31 436 ; 37 22 65 ; 
6 41 33 ; 37 11 479 ; 49 36 111 ; 55 37 253 ; 42 33 419 ; 
38 46 435 ; 52 10 375 ; 12 41 150 ; 43 1 205 ; 1 19 388 ; 
43 28 93 ; 54 52 280 ; 26 23 137 ; 63 44 242 ; 32 3 165 ; 
15 27 384 ; 25 2 218 ; 2 45 427 ; 4 46 83 ; 23 63 95 ; 
51 52 56 ; 39 48 31 ; 63 18 226 ; 43 36 188 ; 47 46 264 ; 
10 34 388 ; 12 60 387 ; 57 11 120 ; 40 39 315 ; 39 46 55 ; 
27 54 462 ; 12 42 217 ; 30 20 301 ; 2 24 176 ; 48 28 447 ; 
18 1 34 ; 15 52 20 ; 26 1 133 ; 1 16 226 ; 47 35 6 ; 
38 13 361 ; 16 42 237 ; 36 47 413 ; 60 51 379 ; 25 35 229 ; 
26 1 130 ; 14 42 464 ; 15 31 303 ; 31 13 426 ; 2 36 415 ; 
15 33 15 ; 58 58 485 ; 41 31 357 ; 29 34 357 ; 0 40 25 ; 
1 30 126 ; 43 38 400 ; 10 62 439 ; 24 48 10 ; 60 35 282 ; 
29 6 160 ; 24 15 108 ; 55 40 194 ; 26 37 367 ; 2 31 8 ; 
32 49 416 ; 6 30 274 ; 4 25 453 ; 52 35 88 ; 24 13 256 ; 
30 58 168 ; 46 54 333 ; 22 44 193 ; 60 11 309 ; 27 8 263 ; 
12 4 285 ; 42 2 5 ; 3 44 239 ; 39 32 144 ; 52 44 292 ; 
46 52 304 ; 36 25 195 ; 16 23 301 ; 28 12 479 ; 36 27 439 ; 
40 44 206 ; 43 29 407 ; 23 20 145 ; 55 16 9 ; 35 1 8 ; 
23 9 276 ; 48 48 475 ; 7 5 359 ; 19 49 328 ; 46 24 248 ; 
26 27 276 ; 55 42 32 ; 12 35 87 ; 28 32 450 ; 29 4 153 ; 
39 29 360 ; 23 36 183 ; 29 15 364 ; 14 11 39 ; 38 35 75 ; 
1 31 381 ; 43 4 448 ; 15 19 427 ; 47 58 411 ; 52 23 396 ; 
17 24 25 ; 53 47 104 ; 4 55 180 ; 16 7 405 ; 51 42 111 ; 
19 59 385 ; 23 39 139 ; 42 11 278 ; 36 58 449 ; 60 6 13 ; 
20 48 329 ; 3 0 174 ; 59 40 23 ; 2 45 87 ; 44 0 399 ; 
39 58 3 ; 15 53 378 ; 26 27 57 ; 20 17 127 ; 27 54 392 ; 
11 15 356 ; 11 57 28 ; 52 24 295 ; 33 59 22 ; 34 47 248 ; 
28 22 400 ; 17 16 360 ; 44 33 427 ; 61 28 381 ; 51 60 429 ; 
2 24 376 ; 59 8 43 ; 19 60 239 ; 15 42 291 ; 62 27 308 ; 
20 55 402 ; 36 59 458 ; 5 14 115 ; 33 59 356 ; 30 61 129 ; 
54 25 97 ; 63 1 143 ; 59 52 239 ; 37 27 110 ; 0 35 493 ; 
56 14 491 ; 51 20 255 ; 2 44 15 ; 61 48 476 ; 58 49 470 ; 
20 38 388 ; 21 30 234 ; 9 17 241 ; 36 23 56 ; 7 45 498 ; 
21 0 18 ; 42 40 18 ; 22 51 210 ; 6 4 372 ; 55 54 33 ; 
30 6 328 ; 60 12 132 ; 13 18 137 ; 36 18 286 ; 17 56 370 ; 
18 31 49 ; 58 61 79 ; 45 15 65 ; 49 35 327 ; 39 53 221 ; 
45 1 228 ; 58 33 446 ; 12 22 18 ; 30 20 35 ; 23 54 460 ; 
54 31 433 ; 51 30 447 ; 3 7 461 ; 38 6 139 ; 27 11 308 ; 
28 8 440 ; 61 34 125 ; 19 57 247 ; 39 28 251 ; 29 36 46 ; 
61 62 277 ; 27 41 315 ; 35 15 382 ; 41 34 41 ; 53 38 312 ; 
61 18 431 ; 31 44 376 ; 24 63 481 ; 53 31 33 ; 25 29 20 ; 
23 50 462 ; 1 61 407 ; 16 59 138 ; 50 61 221 ; 24 37 483 ; 
43 40 348 ; 23 8 193 ; 22 38 316 ; 53 23 441 ; 18 47 250 ; 
4 37 407 ; 1 24 495 ; 61 39 164 ; 58 24 172 ; 31 51 214 ; 
7 3 394 ; 16 16 357 ; 54 61 228 ; 13 2 255 ; 60 60 40 ; 
34 15 131 ; 58 58 155 ; 33 38 77 ; 58 34 482 ; 45 16 264 ; 
49 23 31 ; 1 8 418 ; 62 17 302 ; 0 48 16 ; 60 4 445 ; 
12 43 110 ; 6 23 472 ; 45 4 142 ; 15 46 408 ; 32 18 46 ; 
55 21 187 ; 63 31 32 ; 16 58 274 ; 0 10 228 ; 5 40 337 ; 
48 2 53 ; 7 62 433 ; 11 52 176 ; 57 12 93 ; 11 30 208 ; 
32 30 88 ; 0 14 275 ; 58 0 331 ; 4 49 131 ; 44 34 284 ; 
46 15 181 ; 44 9 453 ; 33 9 109 ; 45 54 224 ; 12 50 486 ; 
42 15 157 ; 56 34 270 ; 57 53 242 ; 42 25 228 ; 12 61 96 ; 
27 38 293 ; 36 63 427 ; 45 32 176 ; 35 13 329 ; 22 51 498 ; 
37 36 378 ; 7 54 360 ; 61 8 477 ; 22 20 2 ; 19 37 312 ; 
57 34 300 ; 56 13 315 ; 25 37 144 ; 38 30 461 ; 25 5 9 ; 
61 55 51 ; 52 20 324 ; 60 41 455 ; 17 55 276 ; 54 47 418 ; 
24 51 221 ; 37 18 162 ; 11 22 399 ; 41 8 40 ; 46 29 310 ; 
38 8 399 ; 58 24 112 ; 35 47 424 ; 26 4 77 ; 9 46 298 ; 
60 44 36 ; 14 34 436 ; 37 17 425 ; 45 25 180 ; 10 7 86 ; 
18 14 436 ; 42 19 166 ; 25 11 284 ; 29 0 267 ; 12 6 321 ; 
56 2 406 ; 26 22 26 ; 44 16 145 ; 5 20 258 ; 13 2 327 ; 
27 31 213 ; 46 33 467 ; 58 30 117 ; 58 61 414 ; 1 55 340 ; 
3 57 312 ; 26 56 52 ; 42 5 74 ; 62 55 130 ; 1 22 260 ; 
32 63 125 ; 1 58 124 ; 31 31 75 ; 29 29 49 ; 20 57 475 ; 
13 33 4 ; 5 1 320 ; 10 60 62 ; 1 34 452 ; 23 14 374 ; 
22 7 415 ; 16 28 215 ; 47 31 89 ; 13 28 320 ; 6 19 381 ; 
40 12 93 ; 41 8 363 ; 37 30 216 ; 8 30 3 ; 22 28 480 ; 
30 28 328 ; 58 59 110 ; 25 28 147 ; 53 29 202 ; 8 58 395 ; 
20 44 66 ; 28 43 26 ; 58 47 31 ; 24 62 305 ; 53 15 181 ; 
17 55 271 ; 12 53 349 ; 41 4 95 ; 6 3 380 ; 0 14 105 ; 
44 32 98 ; 23 26 362 ; 7 62 71 ; 5 7 137 ; 20 24 162 ; 
11 63 371 ; 1 5 32 ; 5 4 8 ; 8 29 93 ; 23 42 255 ; 
55 0 228 ; 18 43 456 ; 16 50 304 ; 23 51 487 ; 47 13 360 ; 
46 28 257 ; 51 60 356 ; 56 41 269 ; 21 62 347 ; 63 26 87 ; 
0 54 90 ; 43 62 218 ; 29 30 52 ; 16 5 420 ; 30 50 331 ; 
58 51 466 ; 55 63 96 ; 32 13 424 ; 30 32 396 ; 56 59 245 ; 
46 46 224 ; 45 24 284 ; 11 20 287 ; 17 32 8 ; 3 3 233 ; 
54 21 475 ; 53 21 105 ; 2 9 156 ; 34 53 136 ; 30 54 343 ; 
12 55 31 ; 36 55 78 ; 56 35 291 ; 24 43 326 ; 27 4 319 ; 
48 59 482 ; 5 45 72 ; 15 21 298 ; 4 30 280 ; 59 5 219 ; 
50 36 497 ; 41 50 409 ; 12 45 25 ; 56 52 397 ; 60 11 297 ; 
56 38 56 ; 37 54 140 ; 58 60 497 ; 24 5 404 ; 29 48 257 ; 
2 57 300 ; 52 14 110 ; 34 7 471 ; 22 56 24 ; 33 1 276 ; 
7 37 312 ; 62 57 460 ; 58 18 177 ; 63 59 120 ; 47 40 424 ; 
40 16 286 ; 54 42 440 ; 61 45 260 ; 53 61 390 ; 54 5 8 ; 
27 10 82 ; 20 6 445 ; 39 40 23 ; 34 4 114 ; 10 56 349 ; 
26 10 301 ; 4 30 113 ; 49 39 252 ; 47 17 389 ; 52 18 423 ; 
62 52 353 ; 5 29 385 ; 45 5 9 ; 49 39 224 ; 41 8 138 ; 
52 25 156 ; 18 19 430 ; 57 3 422 ; 11 48 104 ; 29 19 203 ; 
17 45 143 ; 46 34 442 ; 51 43 59 ; 26 28 376 ; 35 46 309 ; 
60 11 338 ; 15 1 398 ; 18 60 429 ; 3 40 394 ; 22 3 333 ; 
3 18 106 ; 37 32 295 ; 17 51 346 ; 45 51 281 ; 27 36 420 ; 
38 63 259 ; 40 13 99 ; 36 46 407 ; 12 9 137 ; 15 46 124 ; 
33 49 199 ; 2 4 158 ; 53 6 444 ; 41 60 361 ; 13 12 338 ; 
12 63 13 ; 26 46 396 ; 8 45 268 ; 17 63 404 ; 0 19 56 ; 
49 62 131 ; 53 45 272 ; 60 1 126 ; 56 38 48 ; 4 56 117 ; 
3 37 142 ; 49 57 463 ; 31 53 329 ; 30 21 21 ; 49 1 435 ; 
48 60 403 ; 29 25 88 ; 30 55 81 ; 4 11 81 ; 60 8 369 ; 
33 19 69 ; 27 42 88 ; 
