54 84 480 ; 116 27 417 ; 34 105 377 ; 23 17 27 ; 76 125 51 ; 
3 51 101 ; 45 115 475 ; 59 52 344 ; 3 115 460 ; 10 104 91 ; 
72 125 32 ; 63 7 452 ; 104 75 378 ; 20 63 24 ; 113 78 236 ; 
36 83 365 ; 24 86 56 ; 76 67 61 ; 63 123 404 ; 39 118 259 ; 
36 86 490 ; 43 102 490 ; 119 101 46 ; 54 57 390 ; 4 58 443 ; 
88 91 280 ; 46 127 121 ; 113 80 145 ; 108 92 409 ; 98 108 144 ; 
57 6 444 ; 31 104 228 ; 4 10 308 ; 62 21 71 ; 120 52 385 ; 
83 68 17 ; 82 121 217 ; 34 70 312 ; 126 95 145 ; 106 56 30 ; 
112 56 408 ; 89 92 461 ; 99 44 493 ; 120 115 233 ; 44 112 355 ; 
113 114 151 ; 106 75 282 ; 49 83 156 ; 16 77 186 ; 72 51 129 ; 
0 123 243 ; 93 125 224 ; 9 30 209 ; 125 67 448 ; 109 39 333 ; 
95 2 305 ; 43 49 146 ; 126 49 181 ; 75 84 202 ; 126 117 470 ; 
122 0 131 ; 119 124 331 ; 21 81 300 ; 88 10 346 ; 127 59 39 ; 
2 24 320 ; 51 103 4 ; 100 32 159 ; 56 10 449 ; 45 4 21 ; 
46 71 51 ; 42 11 5 ; 124 43 140 ; 6 85 301 ; 65 124 426 ; 
89 17 165 ; 64 5 227 ; 96 36 190 ; 106 65 415 ; 111 42 235 ; 
54 18 133 ; 65 115 203 ; 109 76 317 ; 66 57 389 ; 63 127 367 ; 
80 69 84 ; 85 12 346 ; 121 7 150 ; 58 102 31 ; 101 125 337 ; 
119 66 392 ; 106 53 327 ; 54 83 324 ; 112 108 185 ; 111 12 108 ; 
52 108 131 ; 65 38 75 ; 72 33 148 ; 46 124 157 ; 43 65 403 ; 
110 118 260 ; 35 97 131 ; 118 13 170 ; 99 39 220 ; 111 3 232 ; 
91 30 484 ; 2 9 344 ; 35 73 337 ; 31 2 357 ; 96 117 319 ; 
86 78 459 ; 55 29 409 ; 69 87 372 ; 108 72 371 ; 111 40 294 ; 
13 120 157 ; 22 125 100 ; 95 66 118 ; 97 80 361 ; 86 11 64 ; 
36 114 213 ; 66 71 199 ; 25 64 203 ; 97 47 48 ; 10 1 272 ; 
2 66 483 ; 127 94 164 ; 66 125 390 ; 18 62 309 ; 29 31 78 ; 
16 96 452 ; 87 119 45 ; 23 70 339 ; 70 90 152 ; 71 90 58 ; 
9 73 492 ; 104 69 86 ; 101 87 186 ; 35 72 332 ; 66 26 30 ; 
34 67 451 ; 26 16 55 ; 96 31 399 ; 59 71 58 ; 21 81 257 ; 
95 101 436 ; 36 124 458 ; 124 18 422 ; 68 106 447 ; 95 84 246 ; 
34 91 237 ; 50 115 279 ; 81 98 129 ; 24 104 434 ; 106 53 445 ; 
79 74 286 ; 75 104 89 ; 93 110 222 ; 71 89 222 ; 27 103 102 ; 
119 56 89 ; 106 44 339 ; 76 57 397 ; 52 39 454 ; 106 80 311 ; 
52 15 229 ; 28 44 200 ; 10 110 312 ; 99 44 249 ; 74 47 197 ; 
3 16 36 ; 47 20 219 ; 104 73 153 ; 16 80 385 ; 96 111 30 ; 
111 120 140 ; 28 80 356 ; 10 116 488 ; 55 118 106 ; 102 63 9 ; 
118 35 91 ; 10 127 294 ; 84 68 397 ; 36 86 178 ; 19 28 126 ; 
11 76 334 ; 91 48 90 ; 80 48 334 ; 70 58 140 ; 5 39 231 ; 
40 94 357 ; 39 25 164 ; 108 2 138 ; 66 84 30 ; 94 54 146 ; 
42 121 445 ; 90 43 212 ; 10 121 296 ; 68 81 8 ; 107 97 302 ; 
73 86 23 ; 98 66 59 ; 101 57 131 ; 57 3 243 ; 112 114 133 ; 
105 115 331 ; 20 0 125 ; 13 104 279 ; 94 32 77 ; 63 30 329 ; 
22 33 44 ; 88 76 165 ; 17 31 488 ; 21 94 261 ; 7 95 14 ; 
122 62 22 ; 122 71 323 ; 98 42 155 ; 2 23 204 ; 32 72 463 ; 
65 100 310 ; 14 74 160 ; 45 18 325 ; 12 63 294 ; 107 37 99 ; 
42 124 90 ; 113 59 9 ; 28 15 271 ; 51 111 322 ; 124 46 372 ; 
96 45 225 ; 42 65 254 ; 60 46 168 ; 123 45 154 ; 33 64 454 ; 
29 91 53 ; 88 112 431 ; 103 127 417 ; 87 113 289 ; 5 102 124 ; 
50 123 104 ; 116 81 273 ; 34 54 499 ; 79 72 420 ; 16 102 499 ; 
107 111 400 ; 91 35 201 ; 90 72 22 ; 76 9 221 ; 50 125 152 ; 
45 110 130 ; 126 63 464 ; 52 58 168 ; 124 114 215 ; 98 38 102 ; 
82 122 282 ; 117 108 141 ; 61 54 244 ; 70 103 159 ; 67 112 411 ; 
49 126 21 ; 112 62 66 ; 43 115 152 ; 29 74 97 ; 67 112 109 ; 
62 39 292 ; 42 72 50 ; 96 69 167 ; 71 28 412 ; 55 63 222 ; 
53 20 221 ; 116 22 367 ; 103 22 283 ; 49 75 118 ; 33 125 496 ; 
72 17 211 ; 17 119 221 ; 86 82 375 ; 114 106 399 ; 49 72 15 ; 
69 105 374 ; 91 60 312 ; 113 0 440 ; 61 110 279 ; 58 122 396 ; 
75 74 393 ; 66 87 406 ; 20 15 75 ; 126 38 497 ; 70 5 331 ; 
47 28 340 ; 108 104 45 ; 108 40 364 ; 90 79 449 ; 85 39 250 ; 
31 32 228 ; 118 98 323 ; 5 53 141 ; 44 94 497 ; 49 121 155 ; 
77 69 337 ; 53 86 265 ; 93 66 9 ; 44 32 1 ; 83 58 63 ; 
116 15 340 ; 86 46 247 ; 12 16 154 ; 106 5 491 ; 100 121 455 ; 
41 50 265 ; 0 27 146 ; 66 112 208 ; 98 49 445 ; 29 77 286 ; 
44 61 477 ; 90 77 265 ; 106 83 56 ; 112 94 72 ; 105 22 14 ; 
27 127 362 ; 55 53 308 ; 39 33 396 ; 89 107 490 ; 38 97 393 ; 
99 42 2 ; 48 104 398 ; 3 124 256 ; 98 28 219 ; 120 38 135 ; 
119 21 160 ; 44 45 483 ; 78 69 74 ; 57 31 238 ; 26 92 31 ; 
68 54 165 ; 44 60 332 ; 40 29 133 ; 68 104 368 ; 107 35 234 ; 
0 71 186 ; 45 6 489 ; 114 125 494 ; 17 27 56 ; 110 18 325 ; 
36 47 235 ; 97 47 319 ; 126 96 344 ; 102 21 12 ; 9 43 101 ; 
80 58 124 ; 86 63 296 ; 83 113 425 ; 110 113 407 ; 0 42 288 ; 
47 125 258 ; 95 21 23 ; 63 89 332 ; 84 69 90 ; 0 118 220 ; 
58 18 357 ; 121 46 161 ; 107 119 467 ; 92 50 351 ; 7 127 401 ; 
4 57 150 ; 25 24 113 ; 114 88 272 ; 56 22 464 ; 46 58 56 ; 
65 103 136 ; 111 100 242 ; 103 56 364 ; 25 95 495 ; 24 116 395 ; 
82 10 38 ; 106 80 11 ; 67 116 484 ; 89 88 303 ; 20 17 331 ; 
123 73 169 ; 96 60 294 ; 24 40 150 ; 119 127 365 ; 107 50 346 ; 
118 109 383 ; 70 44 85 ; 58 4 327 ; 19 79 238 ; 36 82 112 ; 
109 4 168 ; 41 118 263 ; 81 88 263 ; 80 33 283 ; 3 4 26 ; 
112 127 394 ; 28 76 92 ; 32 3 30 ; 112 126 36 ; 66 82 223 ; 
70 58 147 ; 61 29 1 ; 21 97 322 ; 55 60 328 ; 59 15 12 ; 
58 77 123 ; 6 1 347 ; 9 123 47 ; 7 47 60 ; 89 119 336 ; 
19 98 262 ; 49 59 305 ; 18 62 462 ; 78 18 383 ; 93 54 286 ; 
42 94 369 ; 43 117 163 ; 38 41 161 ; 86 125 135 ; 77 65 26 ; 
47 71 448 ; 107 20 67 ; 41 30 148 ; 59 62 158 ; 113 20 29 ; 
79 38 490 ; 69 113 437 ; 110 67 108 ; 107 30 91 ; 44 0 69 ; 
115 60 266 ; 8 12 181 ; 38 12 316 ; 100 31 345 ; 121 0 96 ; 
31 62 434 ; 16 39 129 ; 83 60 30 ; 113 119 388 ; 114 8 411 ; 
46 102 287 ; 58 115 131 ; 71 108 99 ; 102 13 153 ; 102 106 30 ; 
36 56 367 ; 76 85 34 ; 8 56 398 ; 127 8 270 ; 7 68 135 ; 
109 43 21 ; 96 6 80 ; 76 105 26 ; 90 115 361 ; 68 97 391 ; 
124 72 201 ; 81 78 282 ; 9 100 218 ; 18 78 322 ; 86 42 37 ; 
1 119 80 ; 8 115 421 ; 113 42 389 ; 100 39 302 ; 69 11 208 ; 
13 84 352 ; 91 66 372 ; 64 124 45 ; 14 62 255 ; 56 127 389 ; 
48 71 359 ; 35 124 304 ; 77 18 208 ; 117 116 170 ; 0 48 46 ; 
84 48 164 ; 23 44 93 ; 19 121 17 ; 82 80 389 ; 81 57 275 ; 
25 120 164 ; 21 57 428 ; 39 1 147 ; 27 59 201 ; 75 90 98 ; 
123 62 434 ; 39 47 410 ; 33 124 309 ; 113 9 201 ; 43 37 259 ; 
35 121 168 ; 92 125 361 ; 94 36 315 ; 25 25 362 ; 115 3 10 ; 
49 109 465 ; 97 44 81 ; 93 1 228 ; 103 106 9 ; 12 37 475 ; 
5 50 366 ; 2 87 189 ; 38 18 454 ; 64 117 16 ; 67 115 397 ; 
49 60 497 ; 93 1 126 ; 94 110 379 ; 73 123 477 ; 110 122 308 ; 
32 36 148 ; 120 114 161 ; 10 28 127 ; 127 36 341 ; 114 69 357 ; 
47 90 125 ; 48 33 226 ; 30 72 275 ; 26 77 81 ; 20 57 50 ; 
57 49 89 ; 43 46 365 ; 71 45 445 ; 107 83 292 ; 48 56 119 ; 
11 97 438 ; 44 59 65 ; 116 114 377 ; 66 8 160 ; 123 102 70 ; 
45 51 82 ; 91 33 415 ; 9 6 258 ; 92 118 269 ; 20 102 112 ; 
118 72 389 ; 49 89 96 ; 36 26 8 ; 44 122 60 ; 18 116 378 ; 
70 3 122 ; 103 74 143 ; 109 61 398 ; 100 118 71 ; 74 27 151 ; 
18 112 52 ; 107 80 194 ; 5 92 7 ; 0 92 415 ; 116 31 55 ; 
119 93 126 ; 66 72 216 ; 127 14 395 ; 117 94 256 ; 16 9 296 ; 
0 73 134 ; 80 127 412 ; 44 103 491 ; 9 114 305 ; 40 42 365 ; 
5 116 389 ; 77 4 313 ; 91 123 255 ; 57 95 326 ; 67 40 443 ; 
12 58 72 ; 12 95 100 ; 115 110 125 ; 101 3 5 ; 15 24 154 ; 
3 34 450 ; 7 35 367 ; 2 102 196 ; 98 40 392 ; 10 95 321 ; 
68 39 192 ; 35 112 57 ; 18 9 257 ; 21 78 152 ; 46 29 9 ; 
80 19 385 ; 115 15 256 ; 89 87 192 ; 1 123 438 ; 96 89 400 ; 
8 121 430 ; 120 38 163 ; 1 95 10 ; 79 11 316 ; 108 29 386 ; 
0 62 436 ; 15 98 208 ; 102 14 15 ; 98 61 316 ; 59 77 233 ; 
52 104 265 ; 91 71 281 ; 58 73 233 ; 70 94 246 ; 99 8 30 ; 
33 96 386 ; 3 8 118 ; 18 35 241 ; 79 23 8 ; 28 12 106 ; 
4 97 209 ; 75 63 65 ; 21 20 176 ; 115 107 355 ; 123 17 401 ; 
91 35 324 ; 99 54 361 ; 6 87 120 ; 29 95 294 ; 41 73 173 ; 
10 110 306 ; 73 72 178 ; 94 124 250 ; 73 107 87 ; 90 32 302 ; 
125 56 133 ; 51 113 220 ; 11 46 271 ; 106 124 153 ; 52 26 182 ; 
34 84 91 ; 106 18 349 ; 103 28 387 ; 82 59 437 ; 115 77 450 ; 
43 90 252 ; 29 66 285 ; 75 13 465 ; 71 94 384 ; 97 76 50 ; 
53 99 274 ; 72 5 413 ; 100 112 383 ; 32 57 362 ; 109 75 57 ; 
72 55 220 ; 10 32 175 ; 24 61 284 ; 118 101 371 ; 67 120 83 ; 
38 62 92 ; 43 39 206 ; 27 123 306 ; 84 53 142 ; 31 66 302 ; 
86 66 88 ; 119 110 484 ; 52 54 62 ; 26 74 242 ; 18 37 381 ; 
80 97 456 ; 120 83 114 ; 115 13 206 ; 40 44 265 ; 107 106 286 ; 
45 22 13 ; 27 10 404 ; 82 9 243 ; 28 31 495 ; 65 44 45 ; 
34 124 147 ; 118 115 372 ; 3 21 188 ; 47 82 127 ; 26 100 51 ; 
48 22 74 ; 59 30 212 ; 68 29 195 ; 99 80 105 ; 16 30 17 ; 
12 125 366 ; 127 45 245 ; 20 85 359 ; 103 112 218 ; 75 52 466 ; 
97 98 256 ; 127 62 28 ; 28 54 267 ; 109 127 239 ; 11 101 483 ; 
8 11 435 ; 54 84 199 ; 11 19 243 ; 124 86 123 ; 48 72 106 ; 
18 84 478 ; 81 16 103 ; 7 8 35 ; 6 67 367 ; 107 98 244 ; 
119 17 267 ; 75 77 380 ; 95 8 306 ; 53 87 85 ; 125 14 345 ; 
81 16 341 ; 97 115 296 ; 105 86 125 ; 45 86 24 ; 15 66 246 ; 
33 58 366 ; 110 58 397 ; 118 112 436 ; 77 49 343 ; 91 111 336 ; 
107 92 233 ; 95 92 290 ; 53 45 388 ; 11 5 145 ; 78 100 302 ; 
8 46 194 ; 66 111 403 ; 50 123 185 ; 99 103 79 ; 82 7 264 ; 
47 37 144 ; 11 19 251 ; 57 99 134 ; 62 29 384 ; 34 3 15 ; 
80 121 273 ; 63 16 129 ; 59 21 463 ; 34 16 229 ; 41 89 13 ; 
78 125 363 ; 98 12 122 ; 69 123 86 ; 98 31 231 ; 102 78 81 ; 
95 76 384 ; 112 81 208 ; 5 25 304 ; 22 18 107 ; 111 111 109 ; 
108 31 202 ; 120 125 269 ; 115 103 99 ; 18 10 284 ; 97 108 471 ; 
45 112 313 ; 126 68 356 ; 23 88 152 ; 42 39 238 ; 25 24 396 ; 
56 51 187 ; 54 28 311 ; 29 103 19 ; 40 119 95 ; 20 106 477 ; 
4 67 478 ; 72 124 427 ; 33 36 102 ; 72 82 317 ; 97 22 303 ; 
20 73 425 ; 48 104 45 ; 23 0 139 ; 14 11 441 ; 121 40 385 ; 
60 39 201 ; 56 82 477 ; 93 124 421 ; 47 62 190 ; 70 41 391 ; 
15 46 484 ; 120 108 172 ; 120 95 428 ; 3 112 499 ; 43 41 21 ; 
82 118 318 ; 37 71 203 ; 33 97 31 ; 95 27 308 ; 9 30 272 ; 
55 2 22 ; 35 122 41 ; 3 34 49 ; 115 97 361 ; 29 47 424 ; 
19 117 420 ; 91 120 474 ; 60 52 219 ; 87 76 109 ; 118 20 108 ; 
120 34 77 ; 115 64 89 ; 21 85 40 ; 119 99 423 ; 38 115 179 ; 
27 47 192 ; 20 62 367 ; 72 113 182 ; 20 70 58 ; 41 123 390 ; 
75 56 68 ; 11 45 76 ; 97 70 439 ; 68 97 437 ; 55 112 216 ; 
103 28 2 ; 37 92 261 ; 22 118 197 ; 93 77 45 ; 88 123 410 ; 
16 31 119 ; 62 59 342 ; 4 75 474 ; 101 112 415 ; 86 12 175 ; 
114 78 30 ; 78 43 401 ; 69 29 114 ; 18 86 93 ; 13 36 94 ; 
44 27 78 ; 103 94 122 ; 50 44 316 ; 34 91 52 ; 46 78 402 ; 
124 120 248 ; 40 10 282 ; 69 64 373 ; 27 13 202 ; 64 55 32 ; 
91 57 253 ; 57 76 433 ; 101 28 352 ; 64 113 451 ; 14 43 313 ; 
7 59 212 ; 17 61 296 ; 81 14 180 ; 95 36 413 ; 22 76 189 ; 
80 1 473 ; 28 98 32 ; 56 43 414 ; 41 38 91 ; 84 67 332 ; 
15 15 162 ; 77 88 261 ; 91 72 382 ; 0 126 492 ; 76 79 183 ; 
78 96 49 ; 48 76 21 ; 91 114 17 ; 1 126 410 ; 69 74 399 ; 
84 36 388 ; 44 6 327 ; 117 120 148 ; 115 60 76 ; 66 95 312 ; 
34 25 240 ; 110 34 262 ; 97 72 15 ; 95 38 350 ; 41 45 220 ; 
77 9 437 ; 83 117 417 ; 76 45 458 ; 8 65 91 ; 104 85 230 ; 
1 54 64 ; 35 100 66 ; 107 67 120 ; 17 126 493 ; 63 58 424 ; 
72 59 449 ; 61 16 379 ; 107 18 178 ; 44 9 378 ; 2 115 323 ; 
56 31 195 ; 28 109 396 ; 96 42 243 ; 94 71 311 ; 24 68 8 ; 
83 105 87 ; 99 92 84 ; 118 35 325 ; 127 53 164 ; 115 80 325 ; 
18 83 323 ; 0 87 47 ; 42 127 111 ; 113 18 235 ; 53 54 417 ; 
31 26 229 ; 123 70 108 ; 30 47 176 ; 84 4 390 ; 36 5 193 ; 
120 8 316 ; 79 67 175 ; 78 26 483 ; 96 82 417 ; 23 103 266 ; 
49 21 160 ; 119 21 47 ; 38 121 306 ; 42 83 321 ; 47 45 469 ; 
55 121 73 ; 122 88 33 ; 21 55 245 ; 103 64 451 ; 78 59 316 ; 
99 107 51 ; 121 58 392 ; 114 4 423 ; 70 109 25 ; 115 42 12 ; 
108 12 59 ; 69 101 491 ; 124 14 57 ; 61 6 222 ; 120 94 17 ; 
99 77 416 ; 29 109 443 ; 33 4 264 ; 15 65 203 ; 57 41 149 ; 
69 65 148 ; 43 16 16 ; 57 89 429 ; 63 56 74 ; 29 125 15 ; 
106 17 223 ; 87 9 6 ; 91 121 115 ; 29 92 4 ; 70 5 51 ; 
7 33 169 ; 23 42 486 ; 113 119 185 ; 41 65 215 ; 38 72 174 ; 
56 71 436 ; 65 41 346 ; 58 40 2 ; 23 73 325 ; 28 120 194 ; 
62 97 121 ; 104 16 164 ; 95 105 316 ; 33 124 337 ; 105 79 450 ; 
49 63 172 ; 90 25 272 ; 3 75 193 ; 76 89 52 ; 68 3 51 ; 
38 116 339 ; 54 109 417 ; 31 125 449 ; 28 126 69 ; 107 40 498 ; 
42 120 103 ; 67 1 460 ; 15 74 75 ; 104 78 62 ; 107 105 130 ; 
96 33 478 ; 77 22 480 ; 74 116 418 ; 72 49 34 ; 112 15 42 ; 
